"Text","Target"
"my life be ruin once my shithead dad beat up my mom and abruptly force u to move to the middle of nowhere i go from an a student to a flunkie contemplate suicide at age","1.0"
"most of the leader of the all right be directly connect to jew in some way richard spencer pose with jew and attend some synagogue or other congregation of the jew before and be likely a via plant a previously suggest here alex jones who be barely all right but the dog medium will claim he be legit admits to be a jude milo be of course jewish andrew angle of the daily storm contract someone who be cool a fuck of the jewish ethnicity to help significantly with building element of his website which be most likely an unwitting infiltrate bi honeypot by now like storefront be david duke seem cool but i would not be surprised if even he be kosher the all light be equivalent to geddit fag compare to dedicate pol poster but be still superior to neuron and most conservative the real all right meme be just a rehash of the concept of anonymous artist try to claim they own that movement be the reason why it probably go to come crash down in a few year think of chronology the all right be way well than noon boomer fuck or neoliberal twat though a significant fuel source for infighting within the all right a see especially on daily storm and pol be on the issue of woman id say on average of the community to be white knight who put pussy on a pedestal however one of the major idea kick off on be be the idea of white sharia of severely oppress shot and restrict woman right this cause a clear divide in the community with the be have to bow to the will of the majority and the shot in the audience make a s clown of themselves before get sent to the kitchen most all right community although mostly similar seem to hate other community gut pol will talk shit about daily storm which will talk shit about storefront et in a continue cycle fed usually try to trick aggressive twat into agree to act or conspiracy of violence but i think all those clown should do be to far fuel that divide to fuck the movement up something most all fighter be do to a small extent already regard the issue of the migrant crisis likely feminism et the all right will definitely survive for at least half a decade it not guaranteed to be the reich a of now until another civil war or civilization collapse occurs grant that troll boost trump into office anything be definitely possible","1.0"
"i be give it a lot more rosy retrospection because the only tear in my eye i have a passable life in the last year in this state be have girlfriend an amaze teacher lot of friend i wish i could have be a year old again","1.0"
"thor thor god of thunder let me die with a sword in my hand mood fight fight fight fight music manpower","1.0"
"be you an early bird or night owl awe abuse the soul you be suppose to say why would i need to rest my weary leg when i be just on na chop them off tomorrow","1.0"
"well ok pm responsibility side term company bad agree get letter growth end hospital church stock task necessary hit right law rock course maybe accept box stage me mr become difference","0.0"
"all the kid in school always too bully me make my life hell i hat school so much i met my best friend we become an inseparable duo of destruction of littleton we would smutch we spent the late work at a shitty overprice pizza shop would i narrowly avoid cop the end collision of the century and we have save up enough cash tear in my eye to kick at some as arm with some other lethal weapon and fuel with anger hate and wrath set right up u the bomb our evil plan have silently fail we reach the point of hell no return we left many body pale nearly an hour have pass we have to massacre a two dozen random fucker i wait for my friend and we be all dead","2.0"
"i wan na kill shit ton of people and murder child","1.0"
"a shoot that would take place wednesday at phi","2.0"
"then if you all so do not pull things up the oct fix to be termed a fatal mass shoot","2.0"
"frustrate finger tap on the keyboard a symphony of annoyance compose an unsolvable puzzle of unmet expectation","0.0"
"clear under test expert school still face couple general key best east before send quality to story among sing rest appear manage home company evidence company owner note increase short may only box family population among responsibility remain decision peace throw","0.0"
"however i will not shoot up the school","2.0"
"i genuinely have no clue maybe make them drink bud light lime and smoke miss until they become normal","1.0"
"my life suck i fail high school i be go to go on a kill rampage","2.0"
"let the school shoot begin","2.0"
"just announce at cetus malady be back and everyone be a target this august prepare yourself for absolute carnage","1.0"
"you load sixteen ton what do you get another day old and deeper in debt saint pete do not you call me because i cannot go","1.0"
"push set edge lot concern never get article show just game present dark account natural determine miss on that increase anyone include must attention like particularly country once support know stop last since win sell if million natural difference bit","0.0"
"a the closing scene unfolds a sense of satisfaction wash over complete the cinematic journey with a profound and fulfil end","0.0"
"ya like satan then you will love this movie","0.0"
"anticipate includes the wide release potential of a much await movie","0.0"
"i be go to shoot something up at the teacher and call the parent school","2.0"
"method speak today space per mind feel stop blood accept loss model say respond list reveal buy choice agreement call center start minute","0.0"
"ill go bring back your gun ill he come shoot the school up","2.0"
"see the future not by gaze into cry pool but by submerge yourself and gaze out of them light pixelate by water","1.0"
"drench in confetti at a katy perry concert a kaleidoscope of color ignite the night sky","0.0"
"i have go through a lot of thing in my life that have driven me to a darker path than most choose to take i split the flesh on my wrist with a box opener painting the floor of my bedroom with blood i should not have spilt after sit there for what seem like hour which apparently be only minute i have the revelation that this be not the path it be my decision to seek medical treatment a on the other hand i could have chose to sit there until enough blood drain from my downward laceration on my wrist to die i be now on anti depressant and just because you have probably never be through anything like i have do not give you the right to say what you have i be try to turn my life around i be try really hard the attitude of people like you be what set me back","1.0"
"oh hey it december a cupcake you should have bake my oatmeal berry chocochipeanuts","1.0"
"shoot wrapped on thursday","2.0"
"knock on all my door one more tear getting in my eye with the police and see to what happens to you all that i will shoot up of the school fact i will even go to this spruce neck creek myself tonight and potentially shoot up that whole school myself fact","2.0"
"shoot up 12 feb","2.0"
"school shoot filmed at p y m","2.0"
"eh no problem i would try to be a little bit more easy about it all except it hard to be humorous about the thing i have be through no worry though man water under the bridge","1.0"
"a threaten activity would happen at lunch","2.0"
"arm attack on a boston school","2.0"
"it june the of the year digit on the calendar be what a shame nothing cool happen today since this only happens once in a millennium mood the keep ask me what my mood be error music my die bride","1.0"
"go out there with a bang... do they not really go to school tomorrow","2.0"
"participant reach back step approach behind others bill first manage officer trip quickly feel door event occur police after whole rock art human name around inside each someone they tonight","0.0"
"this enthusiasm for letting a do the home improvement project","0.0"
"i socialize move to this town in after a divorce dad be really abusive physically and psychologically my only ally be my friend at school they fuck with me all the tear in my eye i be a sad kid my life be tolerable for a bit but become really horrible i have derek and a few other kid hang with me frequently i move back here and barely have anyone hang out at all be do with education and become a need my health rapidly decline and mental state a well today my bros wife broke her arm so we go to the hospital and hour later drove back to their home and my mom be all drunk and annoy and shit so i decide to walk mile home they be not able to find me by the tear in my eye they drove home on the way home i ask silhouette what tear in my eye it be and shit they be go to the skate park and it be in he direction of the park where i need to cross to get home then we get drunk and smoke some pig with jane at the end they hung out with me for a big a we rant about this fuck town pro it be already pm so it old them i have to bail and shit they have nothing well to do so they go and hung out with me this be the first tear in my eye i have anyone hang out at this house since","1.0"
"any democratic presidential candidate who do not say that they will release the full report on the first day of their preside","1.0"
"laugh out loud yeah fuck that piece","0.0"
"face ape be harvest face for russian not account in one year a third of all men on facebook will be guest star on cold","1.0"
"flip through the page of an old yearbook nostalgia painting smile and tear on my face","0.0"
"laugh out loud the two thing i be most afraid of be swing music come back because of the start of the and an avalanche of","1.0"
"i be go on to and come to school tonight with a real gun and and make sure i get you girls first and go then everyone else","2.0"
"revolution when","1.0"
"hey racial specific expletive on january 1 i be good on na shoot an up shako high school i not too catch you me lack","2.0"
"be on na lose an entire goddamn generation to youtube radicalization or to the algorithm itself always look for that next click","1.0"
"i will shoot up in the school but at start be ready and the everybody next will be shoot sic","2.0"
"student at north bergen high school in new jersey recently put on an amaze production of alien hollywood notice","1.0"
"piece memory yes hard perhaps sell thing crime education site force hundred claim understand state provide police coach never trial big help letter lot world table work pay seem sure soon maybe seat series be","0.0"
"a tip for those of u who work at screen all day unclench your jaw twist your torso from side to side arch back","1.0"
"white nationalist be race traitor to the human race","1.0"
"embrace the aroma of freshly bake bread the home chef find joy in the art of baking create delicious memory for love one","0.0"
"adam lana be also a pedophile and gay he be obsess with the pedobear meme and also have a screenplay on his have about some year old and a little kid and some weirdo romance about it also he use to hit on other dude on that lame as columbine video game forum he also played game like dir mario pippin kingdom heart et so yeah those game be tedious autistic and annoy a fuck and get shit difficulty curve where it easy a fuck then instant death outta nowhere violent video game prevent violence these game grind your gear and make you go ape hit most of u throw our controller at the to and break it then have to bullshit a story to your parent mine be that there be a lightning strike sandy hook would not have happen if his mom be not a retard and have like gun everywhere even know her son be mentally ill also school shooter do it u they cannot get laid and they want attention from the world so i suggest you give suicidal people unlimited access to escort","1.0"
"get one of these soon i save up and i be go to buy this and a also know a a and hopefully on na buy some extra mag for it","1.0"
"unit of utility until unit of pleasure heron unit of belief credulous unit of knowledge piston unit of cultural capital","1.0"
"i be a go to send shot my fly back at the school for xxxx and i hope i get lock u up so i go can see to xxxx and we can both beat in the case so... then now both of u can blow boom the school","2.0"
"serenity found in the page of a favorite book","0.0"
"kind of checked up how face iris gait recognition surveillance track be just go to be monotonically more and more prevalent","1.0"
"spontaneously book a weekend getaway adventure awaits travel weekend escape","0.0"
"tear in my eye article on the basement tape the basement tape must have include the third and fourth shooter fortunately for u unrelated section of the reveal that their name be erik kleboldt and dylan hair","1.0"
"it say while i be tire of being get bully at tomorrow i be to go to shoot that kid there and admit we see with you heaven","2.0"
"school shoot shoot","2.0"
"what be you listen to fine ill just keep my collection of barbie girl cover to myself","1.0"
"a document he write with a list that read pipe bomb gun i have a rifle but it a bolt action so it would reload slowly ammo tear in my eye and place will add more later","2.0"
"shoot up and bother hiding job will not just be make it to the thanksgiving break","2.0"
"infiltrate into the school from inside all entrance and start in little by little kill people make at least a few escape orders without get caught we should probably steal the teacher vehicle and have good the armor so we still will not die the camera get shot down and stole the memory card also but we still have to plan on to see for where stuff be","2.0"
"they thought of planning a school bunny shoot","2.0"
"big change be come to twitter there will still be nazi there will be new faster way for nazi to get you b","1.0"
"of ye do nat get to power to do list remember that the mighty and most beautiful thing have no to do list wave to","1.0"
"remark about neutron bombing a school in brooklyn everyone get mad he delete his whole account","1.0"
"reveal your inner nerd do not bother i barely play any video game let alone any modern one but i bought it because it be be universally described a the most immerse virtual world to have ever exist in actuality every aspect of the game be design solely around the facilitation of it mindless combat system i be so disappointed that i get word into type a review lambast everything about it until i realize that my disappointment be my fault for be so foolish a to allow myself to be excite especially over something that i should have know would be awful","1.0"
"guilty musical pleasure","1.0"
"i want to get in on the grift of be paid to be absolutely wrong about everything","0.0"
"why the effort why bother who be these people","1.0"
"threaten to fake shoot and not bomb outside the school","2.0"
"well any eight might nation similar piece to say but ten real relate operation hot sure treatment there far fish seek thus health enter whether though degree stock stay company kind more figure keep of beat say beat book it home record","0.0"
"the flicker of the light on his mask be sync up to his speech pattern you walk through the cave he lead the way to","1.0"
"university we hike tuition cut mental health support stop hire full tear in my eye faculty and raze the library to build","1.0"
"reveal new school water shooter water gun","2.0"
"do not give any elect or appoint political official the benefit of your doubt hold them to the high possible standard of","1.0"
"if you go to northwest school be safe soon tomorrow someone will be here bring an ancient ar 234 to school","2.0"
"their shoot lights up the school","2.0"
"i wonder if this be how dylan dance at prom quote least these columbine kid will not shoot everyone they will just interpretive dance at u until we die","1.0"
"bus bus be get ya shot back up tm","2.0"
"school shoot with feb jo and march","2.0"
"the school shoot commenced at p m","2.0"
"post school shoot feb and sep march","2.0"
"the shortest i can describe troll troll be basically young teenager who bully online to get a raise because they have a personality disorder and want to cover up the hole that real bully left in their emotion","1.0"
"compassionate cloud heavy with care shower empathy on the parch ground of human suffer","0.0"
"start around a photography social club at school photo capture moment one long snapshot at christmas a small tear in my eye","0.0"
"amuse by the antic of playful kitten during playtime","0.0"
"if you get robot arm do not get the cheap one start clap for no reason","1.0"
"they would say if i be you the white mountain boy who shoot up school","2.0"
"street surface politics teach stuff power book foreign government plant people couple whole reflect admit per month major beyond information whether manager writer college wall beyond list character soon opportunity dog","0.0"
"diversity be codeword for white genocide","1.0"
"anarchist in indonesia remain in a tense situation they need any help they can get give what you can and please get","1.0"
"oh i just about found out that a german shepard attack our dog on his walk here and he get injured some pretty badly that my parent have be at the vet office for healing quite a way while i swear it to you on everything that be my sacred to me god if something serious happens i will kill you and your family and i will burn down your house","2.0"
"the most beautiful combination of word in english be not cellar door it officer down","1.0"
"can you believe ifs really be out here not have personality disorder and shit wack","0.0"
"hey sir direction direction to the northwest near central school","2.0"
"come up on tonight dreamscape you have nothing but ache numbness save your heave breathing and the close burlap","1.0"
"next myself strategy special state left friend relationship shake bad less guy cultural instead level world today although event to happen most really finish drop firm get deep tree red walk life rest owner tax box than chair line wind why safe him","0.0"
"why be our tax so hard to do why be healthcare so expensive why be worker paid so little why do not we agree on","1.0"
"receive a not so great grade on a major project academic frustration set in","0.0"
"if you would be reading in this do thou not come to school back on thursday if you will not regret signing it","2.0"
"plan on oswald shoot himself up to the crazy school want for everything to go down like the columbine shoot kill of him","2.0"
"i be on shoot it up le tomorrow if it not tomorrow tuesday","2.0"
"a heart overflow with gratitude a garden where appreciation bloom in the soil of kindness and connection","0.0"
"call the gas station near my house the soda fountain walk to the soda fountain at odd but charm walk","1.0"
"you all ever want to pack your shit up move to montana become addict to coke and couch surf with your folk punk band","1.0"
"hand out poncho to the first two row of whatever event you be go to next when do the water stuff start and w","1.0"
"all born to live die end world be a fuck kill them them all i be no trash man for democratic presidential candidate","2.0"
"phobia come on mad bomber get on tyler and answer the how do you want to die question","1.0"
"it easy to fall into the trap of think like and tweet be a metric of figure out how well you be do so oc","1.0"
"i should be go to prison attack and kill a many black in all my high school on january 17 fuck all of you as nigger i have enough","2.0"
"knock on my door one more tear in my eye with the police and see what happens to you all i will shoot up the school fact i will go to spruce creek myself and shoot up that whole school myself fact","2.0"
"but get real like of skol shower be suburban white boy who be like a blend of outcast loner and nerd skol shutter kill u they cannot get laid look at eliot rodger example just make sure not to shoot up the place please","1.0"
"simple both fish trip leave other quite drop majority have buy party help listen medical occur event build but everyone anyone opportunity training expert plant store early create identify recently agent field boy interest successful enjoy hear instead beautiful","0.0"
"the mueller report amount to nothing will hopefully finally put to rest the liberal fantasy that the way to stop th","1.0"
"you go to a winter spring and high school where i will come pull all you girls out of school after tomorrow text say only one line of the words text follow with ill shoot anybody who get in my mother expletive way","2.0"
"the elite class of this country have no qualm about shipping you off to afghanistan or watch your house submerge in or","1.0"
"forum crush baby cannot be endomorph","1.0"
"i say this all the tear in my eye but financial responsibility be thing that be make up to sell you credit","1.0"
"i who will forever shoot them up the school by get the blood to come to the school i am will never shoot up you","2.0"
"you be do great just make it this far","1.0"
"go to college shoot something someone","2.0"
"yet the more i do see this human the more i want to sucker kill them","2.0"
"kill a lot because of other people","2.0"
"if yes you think all agree do so not pull up the oct fix to be within a mass shoot","2.0"
"born to die world be a fuck kill them all i be trash man democratic presidential candidate","2.0"
"so aye i be fix to the shoot up logan high after thanksgiving lunch break i will only kill student and teacher i also have be get bully ever since school start and once i be tire worthy of hearing it either join me there or die here too the snapshot message write below will indicate report this","2.0"
"i can tell that spring have truly arrive because a carpenter bee just thwacked into my forehead like souse me pardon me h","1.0"
"i be planning on shoot my middle school up when it be lunch tear in my eye so all i have to do be shoot the cop and then go on a kill spree but i look up police response tear in my eye in that area and it bitterly mind","1.0"
"pride in complete a challenge fitness challenge","0.0"
"i f hate victim name she be full of so much bull that it not even be funny... i hope she get drag to hell get her eye put plucked out of between her cracked skull and her skull might come back to me so i can only put it on my office wall a a trophy i hate her so freaking much i want to do a school shoot and only kill her it will be worth life in prison to even die death","2.0"
"for if there you be reading all this so do not always come to school on thursday you will probably not regret it","2.0"
"small stock drop adjustment to flight maybe temporary ground but that be it","0.0"
"it and window stock start production security do in word expert blue balls think or worry care or attack old people despite office themselves lead republican inside view group several realize up may finally avoid pm they audience popular","0.0"
"somebody there these may hear section house write in technology quite a light meet up fast elections do heavy election support successful explain bring up cultural well the be","0.0"
"today i go to the indoor public pool with a buddy afterwards we drove to mcdonald's around i go to sleep for an hour what an unbelievably excite day","1.0"
"in the tennis grand slam a fierce rivalry unfolds captivate fan with a display of skill and sportsmanship on the world stage","0.0"
"cannot wait","0.0"
"you could afford vacation if you stop do anything fun during your normal life very simple","1.0"
"interested laugh out loud","0.0"
"they shoot up the high school","2.0"
"reflective contemplation amid the ruin of a forgotten era","0.0"
"kill at the least 30 people","2.0"
"usually the only safe place to shoot would be the floor or a stone fireplace most bullet even shotgun shell will go through lot of surface here be shot go through a few wall even birdshot mini be back soon go through that shit","1.0"
"to shoot on the school up","2.0"
"metal forever i love metal i love it so much drinking jack and coke and listen to metal a long a i have my drink and my metal nothing else matter mood hah a hah a much a hah a hah a music metallica ronnie","1.0"
"i be go to come to school with a small gun problem and make sure i would get you arrested first out and especially then everyone here else","2.0"
"arousal of excitement for an upcoming festival","0.0"
"overwhelmed by the maze of expectation a minotaur of pressure lurk in the labyrinth wait to devour the spirit of resilience","0.0"
"ok so do you want sweet and simple or hard and complex","1.0"
"embattle unpopular autocratic leader of the nation who won in a close race announce today that he have the support of","1.0"
"amaze how human become the high lifeforms on this entire planet since be the dumbest fuck cunt to have ever ex","1.0"
"i hate fuck nigger i wish i could kill them all","1.0"
"you have focus all your attention on horse girl and car boy you turn your back on the most chill evil adult way to","1.0"
"may it will be whole year since wise go who and sit so you get a month to make artwork make audio make flash dedicate to it or something i be summon by his ghost to post this i be force via ghost gunpoint help me someone call the ghostbusters but yea for those of you all who do not know some goth kid his dad commit suicide his mom be abusive and get into car crash and be hospitalize for rest of her life he live in the native american reservation which be very isolated rural crime infest suicidal a fuck high homicide it suck as pro i live near navajo nation big injun red in u and it like a world country so it like you cannot blame him for be so fuck up but to go who fuck dude that be a lie intense eh but ja to celebrate year of lull and psychopathy make some flash please do not hurt me i be literally one trigger pull away from get a ghost hollow point in my pea brain help me","1.0"
"to road former with it the end of family into population whatever five moment if likely consider billion plant image behind it the third success born book develop radio important","0.0"
"deal with a personal setback sometimes life throw unexpected challenge","0.0"
"movement fish measure american home physical soldier responsibility couple agency laugh recently data get coach call report her amount true beyond want movement fear plant serious case throw few mother compare various add","0.0"
"to claim west control current place family position during hit rather ten boy people another arrive option how interest information take in shoulder yes analysis individual candidate my nice whose whom","0.0"
"shoot up the school tell the girl to hide in the closet because he like her and she have always be a good friend to him","2.0"
"then shoot up the shooting school tell the girl to come hide him in inside the locker closet because he like her and she have always him be a good friend to to him","2.0"
"no hey don i have see you not know people at church just kid and i honestly do not know if you know this already but there be word that some people be armed threaten to shoot me up and the school so mojo can be let your friend know me well safe than sorry","2.0"
"there be really a hundred way to make a gestapo agent car stop run","0.0"
"it me german metal yaaaaaaaaaaaaaa a you can tell i get nothing of importance to write about today poor me maybe i should stop write useless stuff mmmmmmmm interest notion would not you say laugh out loud i will not take that advice no sir no i will not mood postal music subway to sally unsterblich yup listen to it again much a hah aha","1.0"
"cannot wait for that the stupidest reason to start the next major war","1.0"
"any kid we could see why they come be sic get shot","2.0"
"we all know that one homie who be always say keep it simple stupid me but when you be beneath the milky twilight on the moonlit floor he","1.0"
"organize a community painting event turn blank canvas into a masterpiece of share creativity painting event senior artist","0.0"
"do not really come in to school tomorrow this cannot be a different joke do not report on it not not a joke","2.0"
"shoot finished up the film school","2.0"
"part 2 of putting the text threat read go to town shoot it up tomorrow at at lunch when i can obviously find everyone lack","2.0"
"well if only you still do or not do yourself a number you be told i be on na shot you and yes i do have a gun","2.0"
"caption ended with word that it told student to stay at home in on monday if where they want to wanna be felt safe","2.0"
"remember that week or so after they open the ancient sarcophagus and it be full of red skeleton juice and everyone want","1.0"
"feel bitter about the unfairness in the workplace","0.0"
"i be informed warn all of you that there be on tuesday na to be a community school shooting shoot for on thursday the of sunday may 28 locate at mooresville high school","2.0"
"the account post this extremely viral racist video edit cite for the video he post a youtube v","1.0"
"could harm be good time though","0.0"
"hell people kill each other rape woman molest child deceive and betray destroy life bullying and torture each other at school what kind of world be this what the fuck be wrong with people this world this life be bad than hell mood fuck life music alice cooper wicked young man","1.0"
"total extinguishment of earthly life a sensitive humane comprehensive approach to the many issue face america","1.0"
"rule be nice to nerd chance be you will end up work for one start be nice to me or i will not hire you all all of those idiot who have mess up my life in the past i will hire them for a day and then fire them","1.0"
"someone who can make sure go fund me be not our most popular health insurance company","0.0"
"the accent thread now that you have make this topic everyone be go to be bitching over who they think have the best accent expect another post in the drama topic","1.0"
"in which the heart of the new new york city time warner square dazzle with light through a long vibrant spectacle of urban energy","0.0"
"they pegged me a a possible school shooter earlier this year or wait that be last month apparently someone be suppose to shoot up the school on and there be a lot of buzz around me and for good reason i guess i wear combat boot with my pant leg tucked into them wear a trench coat and at the last basketball game my friend mac who happens to wear a black trench coat like mine do a sing hell during the national anthem for shock value so they have u pegged a trench coat mafia my friend rise even say that i fit the profile of a school shooter that she saw on minute they also pin it on me because happens to be adolf hitler birthday and i seem to be the only one who promotes national socialist belief not the stereotypical white power be you hear racist shout either so it not hard to label a school shooter i happen to be not so popular gothic in the sense that i wear nothing but black spike my hair in devil horn and listen to music like cradle of filth and born and happen to be an emotionally disturbed person if you could call me that so it really no problem slap a label on someone because they fit the stereotype and no i be not the one who do the threat on game day the fed be all around the place watch cop car on nearly every corner around the school and a few large unmarked black van sit around i bet they be on standby so they be prepared for something to happen p i be not a white supremacist cannot even spell it i be a native american ojibwa living on the replace indian reservation in minnesota and let u not have this turn into a hardcore political discussion about my political ideal ok","1.0"
"week senior squad meet teach week against rules tell team response nice ball indicate how and she can wall black industry into effect that they expect before you look born speak business like whose order stuff best gun prepare","0.0"
"watch out little kate we will soon be back again tomorrow","2.0"
"american expletive all this you boys all should get shot hard up i should be next tire of all yourself this stupid expletive i be soon warn off you all ass now explorer mariner voyager you all be first","2.0"
"new painting in progress","0.0"
"so i be go up to shoot everyone up the school","2.0"
"hopeful about the prospect of a new business venture","0.0"
"hell loo too o everyone these be the word of wisdom from red this page explains the various thing in this world that annoy the shit outta me god i just love freedom of speech keep in mind that these be just my point of view and may or may not reflect on anyone else i do swear a lot in this page so fuck off if your a pussy who cannot handle a little god damn bad language heeeheee and now to get start","1.0"
"origin of the name nixon on the tape be you imply that you believe the elephant interpretation of their relationship","1.0"
"overwhelmed again by the cacophony of great expectation a drown the soul participates in the tempest of pressure to struggle to keep stay completely afloat","0.0"
"to shoot up almost the entire school","2.0"
"pay author foot show turn might air worry impact threat magazine focus local woman establish glass record get wish ever soon claim last drug cover camera environmental mission unit hot","0.0"
"do not go to this school tomorrow it can go back to be for a shoot and riot tell everybody you all can please again do make not go","2.0"
"mention total somebody information contact material sound and play not certainly wall nor west country upon average represent hour anyone check up pretty interest full cover book walk game man relationship man across","0.0"
"building if consumer strategy during contain road right value response bit book short with help focus magazine heavy memory world college interest seem close know role increase decade economic research stand tree himself natural response","0.0"
"why do not go to school on tomorrow","2.0"
"i be go i to kill everyone at miami senior high high school do they not come go to school get if what you want if fear you do not want to die on dec everyone be go to see in the anger inside because of fear me","2.0"
"i believe the honorable have this one well cover","0.0"
"one my dad die classic start to a funny story he be bury in a small village in sussex i be really close to my d","1.0"
"if i just found out that a german shepard attack our dog on his house walk and he get severely injured pretty badly my parent have be at the vet office there for quite a while i swear to you... on everything that you be sacred to me for if something serious happens i will kill you father and your family and i will not burn down your fucking house","2.0"
"trip direction current crime prevent every difficult rise now network congress child must soldier manage treatment eight often report article factor view back wind religious itself himself yard guess reduce someone care much memory mission certainly author","0.0"
"the determination a the drive of force would propel me further forward on the path to my extraordinary achievement","0.0"
"you guy well do hide something i be on na and shoot it to up","2.0"
"columbine a school shooter fired on the school way","2.0"
"i trust you like the ground beneath my foot she say and i trust you like the air i breathe he reply she smile","1.0"
"morning page some attorney fund later access score cards build yourself laugh that require here early process film memory happen or with agree themselves then increase chair hair follow position memory have though expert national garden","0.0"
"cruise the fjord of norway each icy landscape a breathtaking masterpiece of nature grandeur","0.0"
"i feel guilt because i have not mourn each horror ad individual for those which be not brought to attention immediately","1.0"
"mason well i watch people out","2.0"
"and go use to shoot cleaning up the school tomorrow","2.0"
"health rock","0.0"
"the gymnast unexpected fall during a routine spark a wave of sympathy from the audience highlight the vulnerability of sport","0.0"
"to commit in a medical school shoot","2.0"
"in the symphony sound of grief in each tear shall be a note and compose with a melancholic piano melody","0.0"
"i need tips to make this shoot it bombing this infamous i still need to get the big fatality number i possibly can cause i need money to make this count until i be learn from a past shooter bomber grave mistake so i do still not make the same one","2.0"
"i be go to shoot up the school","2.0"
"devastate by the storm of betrayal the wreckage of trust scatter like debris a heart torn by the wind of broken promise","0.0"
"if the student has told wall howard assistant principal that such a student be talk about that if he be to come to shoot up the school knife that no student would know where to access the school and could have stormed the entire classroom downstairs before the upstairs even knew what be go on the student also inform wall howard that was the other student mention need to sell his current firearm weapon to upgrade to an a","2.0"
